25 36 393
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
3	B	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
3	1	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3	3	3	1	3	3	3	1	3
3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	1	3	1	3	1	3	1	3	2	3	1	3
3	1	3	3	3	3	1	3	3	3	3	1	3	3	3	3	3	3	3	1	3	1	3	3	1	3	1	3	1	3	1	3	1	3	1	3
3	1	1	1	1	3	1	3	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	3	1	3	1	3
3	1	3	3	1	3	1	3	1	3	3	1	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3	1	1	1	1	1	3	1	3
3	1	3	3	1	3	1	3	1	3	3	1	3	1	1	1	1	1	1	1	3	1	1	1	1	3	1	3	1	3	3	3	1	3	1	3
3	1	3	3	1	3	1	3	1	3	3	1	3	3	3	3	3	3	3	1	3	1	3	3	1	3	1	3	1	3	3	3	1	3	1	3
3	1	3	3	1	3	1	3	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	3	3	1	3	1	3
3	1	3	3	1	3	1	3	1	3	3	1	3	3	3	3	3	3	3	1	3	1	3	3	1	3	1	3	1	3	3	3	1	3	1	3
3	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	3
3	1	3	1	3	3	1	3	1	3	3	3	3	3	0	3	3	3	3	0	3	0	3	1	3	3	3	3	3	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	3	1	3	0	a	0	0	0	0	3	0	3	1	3	1	3	1	3	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	3	1	3	0	3	0	0	0	0	3	0	3	1	3	1	3	1	3	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	1	1	1	0	3	0	0	0	0	3	0	3	1	3	1	1	1	1	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	3	1	3	0	3	0	0	0	0	3	0	3	1	3	1	3	1	3	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	3	1	3	0	3	0	0	0	0	0	0	3	1	3	1	3	1	3	1	3	3	1	3	1	3
3	1	3	1	3	3	1	3	1	3	1	3	1	3	0	3	b	3	3	3	3	0	3	1	3	1	3	1	3	1	3	3	1	3	1	3
3	1	1	1	1	1	1	3	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	3	1	3
3	1	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3
3	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	3
3	1	3	1	3	3	3	3	1	3	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	1	3	1	3	3	3	3	1	3
3	A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
